RiskPerformance;ExternalRiskEstimate;NetFractionRevolvingBurden;AverageMInFile;MSinceOldestTradeOpen;PercentTradesWBalance;PercentInstallTrades;NumSatisfactoryTrades;NumTotalTrades;PercentTradesNeverDelq;MSinceMostRecentInqexcl7days
;79;2;52;187;57;54;13;20;92;8
;61;31;95;176;56;24;25;25;100;1
;79;26;62;49;71;36;28;6;100;1
;68;87;131;224;75;11;9;11;89;12
;66;45;36;23;74;19;21;8;100;0
;61;86;109;289;100;35;31;12;97;8
;70;26;75;186;33;16;35;24;87;1
;63;56;75;170;70;13;14;15;87;0
;59;55;82;191;65;9;46;7;93;3
;85;12;189;386;24;15;26;28;100;7
;64;18;80;152;50;22;31;42;94;12
;50;58;76;239;80;36;21;9;72;0
;85;6;98;223;50;25;27;28;96;2
;73;16;122;214;40;37;27;31;96;4
;72;10;88;345;67;24;54;52;98;6
;67;22;56;213;52;18;53;59;98;2
;79;7;64;187;40;32;24;63;92;1
;69;64;19;138;75;17;6;3;100;22
;63;7;56;158;29;24;24;16;92;5
;73;21;50;167;47;34;28;17;100;0
;61;29;122;296;75;64;11;46;82;3
;57;61;121;158;86;39;22;8;91;0
;75;0;73;146;50;38;8;57;75;22
;71;74;63;206;67;33;17;35;94;0
;77;4;77;349;46;22;36;7;97;0
;88;14;57;286;33;33;6;14;100;3
;68;36;95;263;63;14;32;45;94;1
;63;4;68;191;67;58;12;8;92;4
;69;40;53;158;63;23;24;4;92;0
;40;72;100;166;87;17;12;23;48;3
;63;66;41;211;84;11;33;31;97;2
;60;62;69;159;88;33;15;22;73;13
;80;20;79;251;47;40;46;44;100;7
;57;92;56;23;67;33;4;1;67;1
;78;30;69;200;100;0;3;6;100;0
;73;26;82;320;45;21;33;23;100;3
;79;33;83;233;63;28;47;68;100;0
;67;26;73;176;65;20;24;19;92;9
;83;0;109;293;44;35;22;17;96;12
;63;82;28;94;100;56;17;25;100;1
;77;38;90;206;67;27;15;20;100;10
;73;47;102;323;59;19;31;38;100;0
;69;97;77;231;100;14;22;70;100;1
;84;23;144;196;56;36;48;19;100;0
;75;17;58;135;70;6;32;22;97;7
;82;14;84;260;80;61;26;44;96;0
;83;34;82;319;42;20;20;46;100;13
;77;0;115;208;40;44;9;16;100;6
;90;14;121;332;60;0;7;11;100;23
;79;68;64;153;86;36;11;8;100;11
;61;60;54;197;67;15;40;23;95;4
;77;3;17;189;86;36;11;21;100;0
;63;70;84;257;70;29;31;61;97;0
;61;86;109;264;93;37;30;35;97;0
;77;41;83;94;56;28;16;15;100;1
;86;9;141;169;18;8;24;6;100;1
;86;1;51;126;24;6;36;27;100;13
;82;5;93;234;32;22;54;43;100;2
;87;5;141;171;31;39;40;57;100;6
;65;49;92;266;77;6;32;29;94;0
;56;29;27;58;50;15;30;33;97;4
;68;26;44;123;80;29;7;7;86;1
;72;13;71;320;85;25;28;20;96;5
;83;6;62;130;33;9;31;37;100;18
;60;4;32;53;67;57;5;7;71;3
;76;37;89;188;60;32;28;31;100;20
;79;2;99;252;56;43;26;28;89;10
;69;20;108;307;89;33;20;21;81;6
;67;61;17;134;75;25;8;49;100;3
;84;0;100;380;33;27;15;51;100;5
;80;0;48;113;17;14;13;14;86;4
;68;49;67;171;75;43;39;40;93;0
;75;28;81;172;64;32;25;12;100;4
;89;13;136;447;67;43;6;7;100;11
;77;48;121;298;67;25;23;24;100;1
;73;28;32;125;25;7;15;29;100;0
;80;42;118;180;33;7;15;27;100;10
;84;6;33;172;38;35;17;13;100;16
;66;42;67;310;73;23;55;65;100;1
;74;3;102;222;27;37;24;27;96;0
;71;1;25;55;33;44;9;9;100;2
;68;70;33;168;100;38;8;27;100;1
;79;6;58;149;27;6;29;32;100;0
;78;0;80;158;36;58;37;38;97;0
;79;3;106;335;46;40;44;45;96;11
;60;49;108;263;71;23;26;23;83;0
;84;11;57;131;83;56;9;10;100;10
;77;30;102;222;87;26;39;39;100;1
;66;22;60;32;56;19;20;3;86;8
;67;2;76;183;36;16;36;41;97;4
;86;3;101;404;38;24;24;29;97;18
;77;15;54;252;64;42;24;37;100;3
;63;95;61;175;92;37;19;16;100;4
;79;14;87;298;64;29;30;34;90;7
;67;68;43;169;82;16;37;28;100;0
;79;9;105;235;42;3;67;47;100;1
;81;11;71;156;67;67;23;24;96;3
;61;38;60;223;56;9;11;8;91;7
;78;21;73;172;83;57;13;13;100;14
;82;5;217;445;33;14;21;27;95;23
;74;57;75;215;44;32;29;42;87;11
;75;42;60;156;67;32;28;29;100;9
;76;2;97;270;58;35;19;5;95;5
;78;10;38;195;68;51;29;38;100;0
;85;16;89;282;71;46;13;13;100;23
;82;37;77;256;80;22;17;51;100;1
;82;2;52;161;43;48;23;25;100;0
;72;2;100;184;60;18;22;5;82;17
;55;83;65;171;90;69;52;54;98;1
;84;10;107;283;32;13;40;20;100;10
;60;65;123;299;100;27;9;9;60;0
;83;5;145;391;38;26;25;51;96;23
;70;38;81;259;81;35;23;22;91;0
;60;60;80;189;84;33;42;42;95;3
;66;23;128;244;100;43;30;10;93;2
;66;98;56;164;100;91;11;13;91;7
;73;26;123;46;55;12;30;7;94;7
;79;3;56;345;47;19;27;53;100;0
;77;10;127;431;33;39;21;58;96;6
;68;4;24;53;57;46;13;2;100;2
;81;20;102;391;60;9;22;34;100;11
;82;0;69;207;14;16;18;22;100;4
;82;17;64;169;30;15;27;19;100;11
;75;13;59;112;50;9;23;35;96;1
;72;8;115;172;71;47;18;19;84;0
;87;4;96;159;38;26;27;17;100;15
;71;64;87;82;60;33;20;3;100;1
;78;6;58;162;32;18;38;53;100;2
;87;0;98;270;0;7;29;29;100;5
;73;10;50;74;38;28;15;3;89;1
;86;10;103;423;50;16;29;20;100;0
;73;20;75;161;69;27;40;48;98;4
;69;50;94;428;46;8;49;23;100;0
;79;8;81;207;41;16;30;31;100;0
;63;30;58;157;78;53;17;76;76;4
;82;0;96;196;43;6;17;16;94;8
;74;1;100;198;38;30;26;7;100;4
;81;12;78;180;44;41;27;8;100;0
;70;32;68;132;41;19;40;30;98;1
;84;1;78;155;60;50;13;17;100;12
;81;22;76;178;42;9;22;16;100;13
;77;36;120;271;53;35;44;50;100;5
;72;30;57;150;56;8;36;40;100;1
;80;19;79;306;50;13;16;19;100;9
;80;28;85;215;63;50;18;11;100;2
;72;35;146;377;47;21;37;39;97;2
;74;25;184;352;56;16;25;53;100;1
;74;32;66;226;75;37;27;43;93;9
;72;54;107;216;75;21;18;3;95;3
;59;43;137;277;95;20;22;12;60;0
;91;1;104;269;33;44;9;9;100;4
;84;3;66;168;86;40;15;43;100;0
;76;1;35;97;40;52;21;16;100;7
;66;44;149;273;70;33;8;17;83;1
;73;18;79;221;45;27;26;27;96;0
;71;58;90;241;70;35;55;86;100;1
;82;3;84;171;54;44;26;27;96;4
;63;62;94;259;86;44;16;32;81;1
;70;6;104;299;41;8;33;37;97;0
;56;42;77;172;38;18;32;9;97;1
;74;77;84;193;83;27;14;21;100;4
;77;5;44;187;71;21;14;28;93;1
;73;28;88;162;61;24;39;14;95;6
;84;21;102;264;100;33;26;27;96;1
;79;21;62;149;25;20;12;32;100;1
;67;3;64;143;75;50;8;5;40;0
;89;5;99;265;58;36;22;37;100;0
;79;21;121;199;75;11;18;51;100;0
;80;3;84;318;53;41;38;59;100;0
;68;14;67;227;64;56;24;21;96;0
;79;18;92;322;56;20;27;30;100;1
;79;33;97;331;56;43;19;30;95;13
;74;28;42;90;78;40;15;33;93;2
;65;76;55;151;70;21;14;16;100;1
;85;8;123;244;67;46;26;21;100;7
;65;84;82;287;89;62;31;34;85;3
;71;61;92;224;50;25;18;20;79;7
;81;0;60;166;25;20;20;21;100;5
;65;2;98;258;46;33;21;55;70;7
;81;0;106;202;36;46;37;44;95;1
;80;0;103;282;14;26;28;37;97;0
;78;19;124;296;63;35;26;15;96;0
;80;16;38;146;27;13;15;30;100;3
;86;14;71;340;75;19;27;35;100;4
;81;11;93;175;36;28;23;17;100;3
;70;23;95;411;37;12;70;72;99;2
;64;90;32;180;100;50;6;4;100;1
;67;13;46;100;50;33;8;9;67;0
;71;15;79;176;40;14;29;33;97;0
;69;60;162;83;69;6;18;17;94;5
;59;88;85;209;100;53;38;37;78;0
;81;9;46;201;43;29;17;4;100;19
;67;1;82;142;40;8;11;38;92;10
;70;89;55;119;100;27;13;15;100;6
;82;6;63;268;25;7;40;36;100;6
;60;21;171;379;65;13;26;37;77;1
;68;52;60;194;79;47;29;73;97;0
;84;0;66;170;30;15;19;22;100;0
;70;82;109;168;71;21;41;10;98;1
;58;46;54;117;80;47;14;15;80;0
;89;2;93;231;27;23;22;22;100;0
;75;30;124;222;40;24;23;25;92;0
;73;15;9;19;67;33;2;3;100;0
;72;15;13;24;83;71;7;7;100;0
;64;59;47;116;91;15;43;48;100;0
;86;1;68;174;38;17;12;12;92;0
;82;12;81;266;46;29;28;28;100;0
;63;86;52;222;100;58;24;26;92;0
;72;6;57;86;47;12;25;26;96;0
;71;34;31;126;75;22;9;9;100;0
;78;35;66;269;55;23;30;30;100;0
;71;99;50;90;100;75;16;16;100;0
;74;6;118;311;50;53;15;15;93;0
;68;49;63;206;88;26;19;19;89;0
;68;32;63;261;83;36;13;14;86;0
;85;2;91;227;38;43;35;35;100;0
;74;30;69;140;57;30;22;23;100;0
;65;28;84;202;38;33;28;30;87;0
;79;18;96;210;58;21;24;24;92;0
;82;5;82;200;73;56;33;34;97;0
;78;12;82;319;58;24;53;58;98;0
;77;3;154;298;67;33;12;12;100;0
;59;11;94;333;43;21;23;24;67;0
;80;40;164;342;58;36;22;22;100;0
;76;9;12;24;50;25;12;12;100;0
;83;37;66;161;45;13;15;15;100;0
;68;14;64;130;44;21;31;34;82;0
;83;6;57;108;56;27;15;15;100;0
;89;5;123;299;46;16;25;25;100;0
;62;81;47;164;88;31;13;13;100;0
;70;90;68;117;80;23;22;26;100;0
;68;79;42;69;100;40;10;10;90;0
;82;8;73;222;38;31;38;39;100;0
;66;32;94;258;55;16;17;19;95;0
;65;35;43;165;59;15;25;26;100;0
;81;3;66;162;43;12;17;17;100;0
;81;21;53;76;100;25;8;8;100;0
;72;6;20;29;44;18;11;11;100;0
;65;87;101;176;92;28;34;36;92;0
;62;52;30;77;95;62;26;26;100;0
;62;50;114;352;44;24;31;33;88;0
;77;17;52;178;56;20;20;20;100;0
;65;47;19;50;100;43;11;14;100;0
;75;33;67;138;75;31;12;13;100;0
;78;28;91;436;67;25;19;20;95;0
;76;30;57;107;100;50;5;6;83;0
;68;26;73;178;67;35;31;31;97;0
;66;75;64;95;100;22;18;18;100;0
;82;60;104;258;100;43;7;7;100;0
;64;43;78;173;74;42;24;26;73;0
;61;94;44;131;100;40;9;10;100;0
;76;29;109;282;67;24;25;25;100;0
;62;37;119;353;89;41;27;29;86;0
;81;23;110;261;65;22;27;27;96;0
;74;15;51;99;89;56;16;16;100;0
;66;13;45;165;58;30;18;20;85;0
;86;3;89;166;75;38;14;16;100;0
;72;36;129;281;92;14;27;28;93;0
;60;27;45;125;42;18;39;39;95;0
;65;60;62;194;62;26;21;23;96;0
;82;6;75;193;40;23;21;22;95;0
;65;95;40;64;86;36;14;14;100;0
;74;1;93;257;33;32;33;38;92;0
;75;4;17;52;75;60;10;10;100;0
;73;37;68;123;77;56;41;43;95;0
;60;23;70;197;80;14;6;7;71;0
;60;46;78;194;82;25;16;20;65;0
;67;75;91;210;70;32;24;25;80;0
;70;14;65;90;42;16;51;17;100;4
;64;12;116;303;70;52;18;19;65;0
;58;61;64;237;67;15;27;52;85;7
;78;32;75;175;75;47;15;5;100;6
;65;36;25;85;59;14;17;22;100;0
;72;36;81;98;67;16;18;14;84;2
;57;70;106;122;100;42;12;11;50;0
;64;45;54;107;44;29;28;20;93;0
;72;63;69;228;78;38;15;16;100;0
;78;31;66;83;77;48;22;9;91;13
;57;23;164;361;73;27;24;19;85;5
;78;47;47;108;75;36;14;14;100;3
;74;41;66;462;83;20;20;27;90;4
;77;27;89;264;53;14;34;52;94;20
;62;55;49;219;56;22;26;21;93;2
;68;41;50;126;79;44;18;9;94;0
;60;82;83;236;75;30;41;31;86;1
;70;20;64;122;38;30;26;12;97;9
;62;10;74;438;50;31;27;57;93;0
;60;30;93;191;67;46;5;40;46;0
;81;26;126;401;40;18;20;31;100;2
;55;84;100;194;100;42;18;11;84;23
;79;14;101;803;46;21;38;37;100;3
;65;6;81;340;56;25;49;56;89;0
;73;5;135;273;50;31;10;13;85;4
;61;55;30;159;100;33;12;37;100;10
;87;3;59;428;43;29;14;45;100;3
;81;15;117;191;26;7;40;6;100;0
;71;53;69;151;79;26;33;8;100;1
;84;3;84;337;53;16;36;44;100;0
;76;35;169;330;41;16;25;19;100;15
;78;1;100;176;33;30;36;36;100;3
;75;3;104;327;50;13;28;46;93;0
;73;15;67;185;80;67;10;18;92;10
;73;17;28;318;80;44;7;13;100;23
;84;11;62;153;40;33;11;19;100;0
;81;5;82;162;46;47;32;13;100;7
;70;21;43;180;56;28;18;1;89;0
;68;48;99;201;57;26;35;35;97;8
;63;84;110;31;67;42;12;1;92;7
;57;27;78;206;59;14;27;37;89;1
;83;30;80;83;75;29;7;11;100;2
;77;3;144;311;17;29;27;44;96;6
;89;3;215;245;50;0;2;37;100;22
;68;92;60;188;100;32;19;17;100;10
;54;68;101;127;100;25;8;3;88;3
;54;18;79;225;80;25;44;63;75;1
;70;7;98;54;35;21;26;2;82;0
;60;14;92;255;60;19;29;34;77;5
;67;46;126;294;75;58;16;13;84;1
;76;2;70;148;33;17;23;9;86;1
;91;2;141;232;33;0;14;22;100;9
;76;1;48;187;57;50;18;46;100;8
;91;2;128;217;22;9;21;21;100;7
;91;2;116;183;40;0;7;5;100;0
;68;56;83;385;80;36;20;22;95;10
;64;21;113;325;31;28;37;37;98;0
;79;2;128;286;38;18;28;32;100;1
;67;3;89;217;29;18;15;23;82;0
;88;2;93;302;67;7;14;16;100;4
;61;63;94;329;100;47;16;17;94;18
;83;4;67;221;29;21;19;21;100;10
;76;62;32;143;100;60;5;1;100;15
;68;51;62;105;56;37;34;57;91;14
;87;0;94;244;11;25;20;24;100;6
;87;9;113;269;33;27;25;57;100;2
;80;22;58;144;67;21;13;19;100;6
;61;34;105;215;71;44;18;25;68;2
;84;2;80;149;38;28;18;38;100;1
;65;16;25;141;78;50;12;18;100;0
;66;5;13;28;86;71;5;7;100;0
;79;19;56;397;64;24;32;62;100;0
;56;38;57;195;71;37;40;83;95;1
;72;0;75;192;40;56;13;18;88;3
;61;73;70;230;82;9;56;70;100;6
;82;19;47;108;60;20;10;2;100;23
;71;46;93;269;55;23;26;31;96;3
;70;39;124;115;53;23;30;8;94;3
;78;7;26;157;67;38;12;39;100;3
;66;4;105;167;50;23;19;23;77;8
;66;4;44;326;42;29;15;31;88;1
;87;0;74;149;50;23;13;17;100;4
;66;20;98;99;43;35;16;6;88;0
;70;22;38;132;47;16;29;32;94;9
;74;18;58;462;67;17;15;45;100;0
;73;6;27;191;86;50;9;19;100;1
;60;38;116;177;60;17;5;9;50;0
;79;1;95;203;40;28;28;16;91;3
;61;32;53;132;50;24;31;42;91;3
;88;16;56;146;17;10;10;13;100;17
;62;0;44;186;50;60;4;9;60;1
;84;8;75;365;31;0;20;31;95;19
;90;1;74;260;33;20;27;34;100;13
;68;82;82;251;89;22;18;14;100;1
;72;50;164;519;67;22;23;35;100;1
;88;0;49;161;33;29;7;15;100;11
;65;42;84;483;65;21;35;38;97;0
;66;59;87;247;75;20;25;17;100;3
;64;19;42;201;56;14;20;39;90;1
;80;11;87;296;56;16;31;30;100;16
;67;20;66;199;30;13;26;40;80;1
;66;4;63;92;43;32;30;10;94;2
;71;42;58;129;60;38;46;39;100;0
;81;6;62;261;100;52;25;17;100;5
;65;33;82;202;73;43;29;30;97;9
;73;25;83;200;71;42;32;48;100;1
;78;12;100;327;30;24;41;12;100;20
;77;23;115;437;50;26;35;31;100;1
;76;60;55;160;100;47;15;28;100;4
;82;14;90;234;50;29;36;17;97;7
;61;86;81;284;67;0;9;10;90;0
;63;54;51;309;52;32;34;25;100;0
;76;2;56;356;39;22;34;29;100;0
;83;3;81;183;63;61;18;32;100;7
;72;35;97;208;48;18;33;26;100;0
;56;41;44;368;65;16;25;40;92;9
;70;61;85;202;82;38;49;31;96;0
;77;48;128;154;75;33;17;17;100;0
;87;3;88;133;67;14;14;22;100;22
;72;20;76;154;48;13;47;12;100;3
;72;7;74;292;38;22;22;77;96;0
;66;21;65;161;73;44;26;31;81;4
;58;84;86;216;75;29;23;53;88;1
;90;1;130;376;57;53;17;27;100;4
;67;28;33;262;50;56;14;25;88;0
;73;19;128;305;69;39;36;38;95;6
;83;3;73;189;43;20;56;71;100;2
;81;10;60;365;64;19;27;54;96;3
;71;7;68;178;40;6;47;62;98;0
;71;38;107;179;56;35;37;12;97;2
;87;8;55;180;38;46;12;13;100;16
;90;0;77;148;0;0;9;16;100;0
;80;27;89;263;64;33;34;44;100;0
;81;7;116;327;42;15;40;5;100;1
;70;5;43;258;67;15;27;41;100;0
;70;5;43;80;67;15;27;10;100;0
;80;38;110;324;86;26;27;52;100;14
;72;31;99;262;78;65;30;17;94;5
;77;49;87;195;58;13;24;46;100;4
;84;29;82;196;64;17;12;25;100;0
;68;62;94;327;63;19;32;12;97;5
;68;43;81;50;42;22;29;1;94;0
;75;30;65;201;36;30;31;46;97;12
;82;11;116;436;33;13;47;37;100;2
;65;43;31;65;82;22;18;18;100;6
;73;66;120;347;70;46;37;53;95;0
;79;6;99;251;31;17;23;24;91;20
;61;49;58;137;91;41;31;21;88;6
;86;0;65;204;13;34;38;34;100;12
;84;4;61;83;56;41;22;19;100;4
;68;30;49;227;61;41;26;50;100;0
;64;53;111;345;69;18;34;34;94;9
;70;22;40;184;50;53;15;17;87;3
;85;1;77;141;50;12;25;32;96;11
;74;59;89;155;63;14;43;10;100;9
;67;42;111;51;67;20;14;9;87;1
;78;43;54;92;63;14;13;16;100;9
;69;45;95;139;88;50;28;23;91;4
;72;60;51;86;50;15;27;15;100;2
;75;42;76;154;50;12;16;18;94;4
;88;5;127;191;60;44;17;35;100;0
;71;12;68;300;39;11;47;69;100;6
;82;5;58;418;29;24;21;37;100;1
;68;30;30;75;67;17;27;37;100;5
;83;8;40;102;18;14;14;15;100;0
;60;66;92;197;100;67;2;20;67;4
;59;53;92;247;47;21;31;33;97;2
;61;57;85;185;95;26;34;15;94;15
;79;2;80;340;12;13;52;77;96;6
;88;10;113;331;70;24;20;28;100;7
;78;13;110;372;44;23;52;10;100;9
;67;7;97;194;45;47;38;45;77;2
;65;58;110;340;83;30;27;26;100;0
;81;18;86;6;47;33;32;3;100;5
;65;37;32;75;69;25;16;16;88;4
;55;66;63;167;71;32;25;11;84;2
;55;66;112;418;64;28;25;34;84;4
;79;16;100;193;44;40;24;34;96;19
;70;39;60;340;50;25;28;34;96;1
;86;5;137;265;42;19;21;37;100;2
;81;53;142;501;60;0;19;55;100;4
;65;63;52;196;71;35;60;74;98;0
;73;35;97;214;60;18;27;17;96;0
;67;87;90;323;100;43;28;9;100;3
;57;38;14;23;50;25;12;12;92;0
;72;2;114;352;44;15;26;22;88;20
;72;16;112;80;67;18;22;3;100;3
;88;2;138;205;24;11;37;8;100;19
;81;7;60;238;54;47;30;51;97;12
;79;11;51;157;27;14;20;38;100;1
;87;2;93;294;24;23;35;60;100;0
;75;58;121;204;69;25;28;3;100;0
;68;1;116;328;73;70;21;23;95;1
;73;0;72;407;31;10;29;59;90;1
;68;71;65;375;78;48;25;35;100;1
;57;20;87;229;47;23;33;56;83;0
;79;27;63;276;50;46;41;30;98;1
;76;48;98;336;58;30;22;25;100;3
;85;3;105;55;19;7;28;4;100;2
;69;40;109;284;55;26;22;22;100;2
;73;38;192;412;100;26;23;55;87;5
;69;7;100;390;27;10;18;11;67;14
;63;51;71;204;70;47;48;30;98;1
;68;6;86;298;63;47;19;22;89;5
;82;19;85;409;33;17;18;6;100;0
;82;2;108;164;17;15;38;30;100;2
;87;3;68;183;25;7;14;21;100;18
;71;17;43;95;53;17;33;41;100;0
;73;28;80;138;69;28;39;12;100;0
;79;26;39;106;63;50;9;7;100;3
;80;6;86;390;44;24;29;29;100;9
;70;33;77;204;42;23;28;50;97;6
;70;32;107;213;44;15;33;54;97;0
;64;60;41;256;92;29;16;28;94;0
;71;26;76;383;67;29;19;24;86;2
;78;50;91;132;67;37;30;11;100;0
;77;1;105;138;33;21;13;21;93;2
;67;65;96;44;80;0;6;14;50;0
;59;16;22;312;77;36;20;10;100;2
;89;9;81;241;50;40;15;18;100;12
;70;77;52;127;57;50;20;19;100;1
;59;16;42;66;44;21;22;3;71;0
;75;19;73;300;71;29;52;63;98;4
;80;1;45;330;50;32;19;28;100;10
;62;83;92;251;72;15;41;53;98;0
;86;0;164;383;48;9;35;21;100;10
;88;1;78;413;13;29;48;76;100;2
;85;1;71;449;21;12;33;23;100;5
;78;2;92;239;36;13;28;20;97;0
;85;1;90;372;33;26;27;19;100;2
;74;6;66;254;53;38;39;74;95;7
;86;5;107;400;38;33;43;43;100;13
;88;1;97;242;33;23;31;38;100;3
;64;5;134;285;75;30;20;4;100;0
;86;9;73;131;73;38;25;11;100;1
1;66;15;84;367;31;32;31;20;97;6
0;69;54;94;312;56;18;27;30;82;15
0;74;1;146;305;31;17;17;8;94;10
0;81;4;39;17;67;15;12;2;100;14
0;89;2;141;378;23;24;21;10;100;15
0;84;2;106;413;53;19;35;44;100;1
1;69;25;101;180;45;29;30;9;100;16
0;66;24;78;265;39;12;50;51;88;2
0;77;14;86;473;55;10;40;46;100;3
0;68;5;105;273;68;20;44;25;86;1
0;69;81;99;180;78;20;27;19;100;2
0;89;14;87;172;40;23;22;49;100;18
1;59;48;42;107;50;12;25;8;96;1
0;72;5;106;212;56;17;12;18;100;19
0;81;0;59;271;23;25;20;18;100;0
0;75;0;147;398;18;17;12;14;100;6
0;72;8;110;238;56;20;14;31;93;4
0;82;0;26;34;50;50;4;4;100;5
0;62;70;55;135;71;46;11;12;77;15
0;70;33;72;395;85;30;45;66;100;1
1;66;15;84;107;38;32;31;4;97;0
0;69;14;83;199;33;18;61;23;100;1
1;68;60;90;199;67;34;28;29;97;1
1;63;78;61;118;62;24;29;10;100;0
1;68;48;72;180;86;56;24;35;92;3
0;78;41;86;249;79;42;37;54;100;2
0;59;0;65;141;43;16;23;25;96;0
0;61;43;86;279;60;30;45;23;98;4
1;70;47;92;187;63;29;32;11;97;1
0;84;22;322;387;100;25;4;24;100;3
1;60;27;28;65;50;14;22;27;95;14
1;66;32;78;46;91;68;51;3;98;1
0;79;12;60;133;27;8;38;37;100;1
0;78;5;106;188;52;28;40;34;100;2
0;89;2;87;277;30;30;25;27;100;4
0;69;2;66;201;32;30;37;17;97;9
0;79;0;84;243;50;35;29;39;81;0
0;79;42;134;124;60;35;21;5;100;5
1;81;0;84;216;38;35;25;35;100;1
0;83;6;59;187;75;37;19;32;100;0
1;60;5;58;343;83;17;5;10;67;6
0;86;8;108;188;63;14;26;29;100;14
1;79;3;142;439;50;11;17;38;89;15
0;72;22;97;280;44;20;54;11;100;5
0;71;47;137;409;60;18;44;44;100;1
0;74;3;53;198;43;33;11;12;92;4
1;92;1;89;137;78;58;19;15;100;7
0;68;35;38;269;78;25;12;10;88;4
1;65;10;71;502;38;15;78;100;99;0
0;81;4;92;320;41;16;56;61;100;1
1;76;3;88;267;21;24;33;51;94;14
0;85;13;51;173;80;0;9;28;100;0
0;64;11;69;173;35;20;43;55;93;0
0;84;18;109;226;67;61;27;37;96;1
0;82;19;71;289;57;45;20;14;100;6
0;91;2;107;153;100;14;7;26;100;5
0;77;35;108;345;36;22;23;28;91;0
1;66;0;103;198;50;39;18;11;83;0
0;86;14;90;94;38;16;23;7;100;14
0;83;22;62;197;90;39;18;32;100;3
1;81;6;68;299;47;50;38;36;95;0
0;62;49;26;335;67;29;19;7;100;0
0;85;12;140;340;63;16;18;18;100;2
0;84;6;79;385;89;57;22;30;96;8
0;83;16;114;308;75;50;30;29;100;2
0;65;57;135;372;62;0;32;28;97;4
1;66;49;96;314;71;56;34;41;78;1
0;85;17;73;211;33;11;19;33;100;0
1;57;29;95;146;43;33;9;6;28;1
0;86;0;92;188;38;19;25;15;100;0
0;55;25;53;337;75;11;25;28;81;5
1;72;46;93;247;67;19;19;23;90;0
0;56;26;99;219;39;38;36;40;97;1
0;74;20;73;118;90;65;15;32;88;20
1;79;26;93;330;69;41;29;21;100;0
1;65;77;103;328;86;41;13;36;82;4
0;80;3;85;202;86;32;25;43;100;0
0;78;1;72;188;43;43;20;24;96;0
0;60;33;115;267;73;38;37;42;97;4
1;66;38;51;123;53;26;38;26;97;0
0;80;35;71;372;29;33;9;14;100;0
0;71;79;187;207;100;23;22;3;100;0
0;84;11;84;391;33;22;27;22;100;3
1;68;37;134;331;68;31;39;23;92;0
0;87;0;67;133;40;55;11;2;100;8
0;76;76;70;78;56;8;23;2;100;0
0;87;0;86;136;10;38;16;6;100;0
0;84;0;78;188;75;21;30;30;100;2
0;75;13;83;153;33;18;22;39;95;1
1;83;14;98;199;29;20;53;77;100;0
0;83;23;99;187;50;17;12;22;92;22
0;69;57;81;315;79;45;41;55;100;0
1;77;23;74;285;69;0;14;21;100;12
0;80;6;98;135;71;44;18;16;94;2
0;85;12;131;208;40;33;15;33;100;1
1;77;52;118;210;100;60;22;6;100;0
0;81;7;67;165;75;22;36;33;100;9
1;77;1;39;254;19;4;25;16;96;7
0;89;15;71;290;33;0;9;29;100;9
0;79;0;61;45;50;41;22;1;95;2
0;87;7;92;276;67;32;25;38;100;1
0;68;6;108;288;38;10;19;37;86;2
0;90;0;87;180;13;28;18;5;100;18
0;70;95;58;156;100;33;3;3;100;1
0;75;10;53;143;64;45;27;18;97;1
0;88;2;69;154;80;67;9;22;100;10
0;69;34;95;403;64;29;16;51;76;0
1;69;60;80;307;83;25;16;9;100;14
0;85;0;75;147;17;22;36;42;97;0
0;70;11;67;206;42;33;27;45;96;2
0;76;25;104;154;83;31;26;17;100;2
0;85;5;105;232;46;39;26;41;100;0
1;45;89;75;341;83;35;25;48;85;1
0;73;5;101;238;29;13;44;50;87;0
0;88;2;120;74;56;25;23;13;100;3
0;66;17;113;437;31;11;27;33;96;8
0;73;0;80;94;18;26;34;2;94;4
0;84;9;101;222;46;24;25;39;100;0
0;76;22;83;157;100;38;20;7;95;1
0;64;35;96;320;80;37;40;42;93;0
1;81;73;68;336;100;50;6;10;100;18
0;76;43;93;182;46;16;30;21;97;2
0;83;15;115;289;57;40;15;35;100;24
0;79;14;90;163;67;12;17;23;100;1
0;75;17;66;125;67;15;38;24;100;8
1;62;10;41;175;33;24;17;4;88;0
0;85;2;58;148;24;9;42;62;100;0
0;65;47;72;406;79;48;30;40;100;2
0;80;12;136;391;67;44;16;30;100;1
0;70;15;93;214;61;19;30;32;84;24
1;72;38;107;387;50;20;24;26;96;0
1;69;40;97;166;73;0;19;13;100;0
1;63;36;154;437;80;38;10;27;77;5
0;87;4;137;437;50;12;25;25;100;4
0;86;7;62;12;25;0;6;2;100;1
0;83;5;83;232;41;18;28;53;100;11
0;74;12;85;160;100;42;11;13;92;0
0;58;4;82;61;65;33;34;3;91;5
0;69;43;35;70;60;25;21;24;100;2
0;87;0;83;153;67;20;5;12;100;2
0;88;14;169;457;50;0;18;28;100;12
1;58;83;49;171;69;25;19;41;100;1
1;78;18;94;341;64;44;34;26;100;0
1;67;72;83;190;67;27;29;28;93;17
1;54;15;89;191;75;40;11;14;73;4
0;85;1;101;224;44;25;16;5;100;13
1;64;33;97;286;56;45;27;55;93;0
1;72;4;43;150;75;25;7;25;88;0
0;86;5;88;192;42;37;43;11;100;0
1;66;23;67;195;88;42;19;20;95;3
